Age,Outcome,count
21,0,58
21,1,5
22,0,61
22,1,11
23,0,31
23,1,7
24,0,38
24,1,8
25,0,34
25,1,14
26,0,25
26,1,8
27,0,24
27,1,8
28,0,25
28,1,10
29,0,16
29,1,13
30,0,15
30,1,6
31,0,11
31,1,13
32,0,7
32,1,9
33,0,7
33,1,10
34,0,10
34,1,4
35,0,5
35,1,5
36,0,6
36,1,10
37,0,13
37,1,6
38,0,6
38,1,10
39,0,9
39,1,3
40,0,7
40,1,6
41,0,9
41,1,13
42,0,11
42,1,7
43,0,2
43,1,11
44,0,3
44,1,5
45,0,7
45,1,8
46,0,6
46,1,7
47,0,2
47,1,4
48,0,4
48,1,1
49,0,2
49,1,3
50,0,3
50,1,5
51,0,3
51,1,5
52,0,1
52,1,7
53,0,1
53,1,4
54,0,2
54,1,4
55,0,3
55,1,1
56,0,1
56,1,2
57,0,4
57,1,1
58,0,4
58,1,3
59,0,1
59,1,2
60,0,3
60,1,2
61,0,1
61,1,1
62,0,2
62,1,2
63,0,4
64,0,1
65,0,3
66,0,2
66,1,2
67,0,2
67,1,1
68,0,1
69,0,2
70,1,1
72,0,1
81,0,1
